0,133
5,779
10,3716
15,12414
20,32077
25,67420
30,121200
35,195324
40,283716
45,349900
50,388036
55,404703
60,413612
65,410107
70,371748
75,304823
80,242683
85,197934
90,164774
95,137537
100,116524
105,98232
110,84220
115,71583
120,62175
125,54421
130,50887
135,37878
140,31417
145,27289
150,24790
155,26129
160,21088
165,16690
170,16774
175,15342
180,12067
185,8783
190,6876
195,5852
200,6135
205,5158
210,3711
215,3172
220,2709
225,2491
230,2308
235,2009
240,1808
245,1684
250,1562
255,1648
260,1580
265,1182
270,974
275,865
280,830
285,708
290,533
295,442
300,321
305,295
310,231
315,209
320,222
325,208
330,182
335,182
340,162
345,180
350,196
355,155
360,152
365,139
370,124
375,105
380,148
385,166
390,137
395,100
400,98
405,67
410,24
415,26
420,16
425,14
430,6
435,10
440,2
445,2
450,2
455,4
460,2
465,3
470,5
475,2
480,6
485,1
490,2
495,0
500,4
505,2
510,1
515,3
520,1
525,3
530,1
535,1
540,0
545,1
550,3
555,1
560,0
565,0
570,0
575,0
580,0
585,0
590,0
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
785,0
790,0
795,0
800,0
